sample_reference,Animal,Pen,Diet,RFI_category,DEX_Group,Sampling_Round,Firmicutes,Bacteroidetes,Euryarchaeota,Proteobacteria,Actinobacteria,Verrucomicrobia,TM7,Spirochaetes,Cyanobacteria,Fibrobacteres,SR1,Lentisphaerae,Elusimicrobia,Planctomycetes,Tenericutes,Synergistetes,Chloroflexi,Fusobacteria,Acidobacteria,X.Thermi.,Chlamydiae
100809_R1A,100809,4,PBforg,LOW RFI,DEX,R1,0.254977962,0.23982176,0.33106828,0.131079879,0.010477884,0.015262527,0.00460099,0.004610656,0.000106325,0.00107292,6.77E-05,0.000792607,0.003102768,0.000628286,0.001150247,0.00030931,0.000869935,0,0,0,0
101195_R3A,101195,4,PBforg,HIGH RFI,DEX,R3,0.259779031,0.314933814,0.276947051,0.10427756,0.009253747,0.006828687,0.00866718,0.007082575,0.000183849,0.003668231,0.001978568,0.001339473,0.000682869,0.001033058,0.001873512,0.000376453,0.001059322,0,0,0,0
101195_R2A,101195,4,PBforg,HIGH RFI,DEX,R2,0.298337379,0.29565534,0.296092233,0.040121359,0.014393204,0.016395631,0.014793689,0.005849515,0.000691748,0,0.003252427,0.002451456,0.001298544,0.007657767,0.00086165,0.000485437,0.001371359,0.000194175,0,3.64E-05,0
101195_R1A,101195,4,PBforg,HIGH RFI,DEX,R1,0.283610062,0.217058636,0.279616067,0.161088114,0.01624892,0.024136833,0.003484511,0.004057681,0.000145567,0.000873402,0.000727835,0.000746031,0.001419279,0.002465542,0.002001547,0.000482191,0.00066415,0,0.00114634,0,0
102595_R1A,102595,4,PBforg,LOW RFI,CONTROL,R1,0.353504156,0.233706639,0.275478933,0.103512178,0.006161153,0.008559831,0.012121747,0.001315663,6.42E-05,0.00072201,6.42E-05,0.000986747,0.000320893,0.00133973,0.001115104,0.000280782,0.00058563,0,0.000144402,0,0
102595_R2A,102595,4,PBforg,LOW RFI,CONTROL,R2,0.312463264,0.24579509,0.280157797,0.134172808,0.004611837,0.007675092,0.005041371,0.002645024,0.000248677,0.000621694,0.001119049,0.002113759,0.000632997,0.000237374,0.000791247,0.000237374,0.000972103,0,0,0,0
102595_R3A,102595,4,PBforg,LOW RFI,CONTROL,R3,0.247502468,0.28228233,0.231668312,0.195688055,0.003214215,0.008584403,0.008134255,0.003340573,0.000718657,0.013014808,0.000718657,0.001145114,0.001089832,0.000560711,0.001366239,0.000371175,0.000465943,0,0,0,0.000134255
105117_R1A,105117,2,PBconc,LOW RFI,CONTROL,R1,0.301799029,0.352272727,0.164041658,0.14239175,0.03161981,0.000427526,0.005104658,0.001077365,0,0,0,0.000102606,0,0,0.000632738,0.000530132,0,0,0,0,0
105117_R3A,105117,2,PBconc,LOW RFI,CONTROL,R3,0.221828982,0.437686605,0.142782529,0.184106518,0.007943623,0,0.000834119,0.002486767,7.02E-05,0.000132524,0,0,0.000779551,3.90E-05,0.000124728,0.001130349,5.46E-05,0,0,0,0
105117_R2A,105117,2,PBconc,LOW RFI,CONTROL,R2,0.387665568,0.492790477,0.02802772,0.045213212,0.034594534,0,0.006930084,0.00050299,0.001928128,0,0,0,0.001425138,0.000251495,0,0.000391214,0,0,0,0.000279439,0
200608_R3A,200608,2,PBconc,LOW RFI,DEX,R3,0.285784899,0.267981933,0.146599625,0.270751662,0.011649906,2.56E-05,0.005045168,0.006672916,0.002437362,0.00026419,0,0.000332367,0.001602182,0,0.000400545,0.000451679,0,0,0,0,0
200608_R2A,200608,2,PBconc,LOW RFI,DEX,R2,0.320757375,0.195720981,0.240530463,0.216937627,0.016717853,0,0.006311459,0.000385074,0.001643609,7.51E-05,0,0,0.000244193,3.76E-05,0.000103313,0.000535347,0,0,0,0,0
200608_R1A,200608,2,PBconc,LOW RFI,DEX,R1,0.306413361,0.25112548,0.149936341,0.19900808,0.089589002,0,0.001198292,0.000108179,0.000640754,0,0,0,0.001348079,0,0,0.000532574,1.66E-05,0,0,8.32E-05,0
200615_R2A,200615,4,PBforg,LOW RFI,CONTROL,R2,0.30560655,0.264375092,0.209755017,0.161201494,0.021902893,0.007459222,0.005317465,0.005855542,0.000474774,0.004842692,0.000654133,0.008535376,0.002310565,0.000189909,0.000654133,0.000327066,0.000411471,0,0,0,3.17E-05
200615_R3A,200615,4,PBforg,LOW RFI,CONTROL,R3,0.30041205,0.273830235,0.217077191,0.136388609,0.024869517,0.023587584,0.006098343,0.005210146,0.000842414,0.004230382,0.001162897,0.002600494,0.001190367,0.00052193,0.00046699,0.000238073,0.001144584,0,0,0,4.58E-05
200615_R1A,200615,4,PBforg,LOW RFI,CONTROL,R1,0.33442227,0.245862663,0.247229295,0.113823573,0.029822525,0.009538341,0.007647521,0.003922046,9.36E-05,0.004324547,3.74E-05,0.000599071,0.000664595,0.000421222,0.000814363,2.81E-05,0.000748839,0,0,0,0
200800_R3A,200800,3,PBforg,LOW RFI,CONTROL,R3,0.320293194,0.211549738,0.195811518,0.197424084,0.014324607,0.004408377,0.012041885,0.005382199,0.00052356,0.002335079,0.031465969,0.000376963,0.000973822,0.000554974,0.00121466,0.000596859,0.000492147,2.09E-05,5.24E-05,2.09E-05,0.000136126
200800_R2A,200800,3,PBforg,LOW RFI,CONTROL,R2,0.342317191,0.163892766,0.276674183,0.172545546,0.021529045,0.002764952,0.011050861,0.002022263,0.00027739,9.84E-05,0.003462901,0.000304234,0.001136404,0.000429507,0.000975339,0.000313182,0.000161065,4.47E-05,0,0,0
