Sepcies,Abundance,Sepcies,Abundance,Sepcies,Abundance,Sepcies,Abundance,Sepcies,Abundance,Sepcies,Abundance
Ruminococcus,16,S24-7,87,Ruminococcus,50,S24-7,2,Ruminococcus,7,S24-7,83
Coprococcus,56,S24-7,31,Coprococcus,74,S24-7,13,Coprococcus,29,S24-7,91
Lachnospiraceae,27,RF32,39,Lachnospiraceae,19,RF32,4,Lachnospiraceae,80,RF32,88
S24-7,4,Clostridiales,24,S24-7,49,Clostridiales,56,S24-7,85,Clostridiales,65
S24-7,23,S24-7,54,S24-7,1,S24-7,48,S24-7,57,S24-7,47
Ruminococcaceae,87,Helicobacter,35,Ruminococcaceae,12,Helicobacter,45,Ruminococcaceae,45,Helicobacter,16
S24-7,44,S24-7,64,S24-7,29,S24-7,10,S24-7,83,S24-7,12
S24-7,48,S24-7,15,S24-7,68,S24-7,6,S24-7,5,S24-7,19
S24-7,50,S24-7,2,S24-7,51,S24-7,19,S24-7,18,S24-7,14
Lachnospiraceae,6,Lachnospiraceae,25,Lachnospiraceae,16,Lachnospiraceae,46,Lachnospiraceae,22,Lachnospiraceae,46
Ruminococcaceae,25,Clostridiales,16,Ruminococcaceae,19,Clostridiales,43,Ruminococcaceae,12,Clostridiales,7
S24-7,120,Clostridiales,43,S24-7,36,Clostridiales,108,S24-7,32,Clostridiales,12
S24-7,38,Clostridiales,1,S24-7,10,Clostridiales,111,S24-7,131,Clostridiales,37
Enterobacteraceae,137,Clostridiales,3,Enterobacteraceae,60,Clostridiales,35,Enterobacteraceae,2,Clostridiales,143
S24-7,25,Ruminococcus,83,S24-7,95,Ruminococcus,57,S24-7,83,Ruminococcus,120
