Sepcies,Abundance,Date
S24-7,87,08/02/2019
S24-7,31,08/02/2019
RF32,39,08/02/2019
Clostridiales,24,08/02/2019
S24-7,54,08/02/2019
Helicobacter,35,08/02/2019
S24-7,64,08/02/2019
S24-7,15,08/02/2019
S24-7,2,08/02/2019
Lachnospiraceae,25,08/02/2019
Clostridiales,16,08/02/2019
Clostridiales,43,08/02/2019
Clostridiales,1,08/02/2019
Clostridiales,3,08/02/2019
Ruminococcus,83,08/02/2019
S24-7,2,22/02/2019
S24-7,13,22/02/2019
RF32,4,22/02/2019
Clostridiales,56,22/02/2019
S24-7,48,22/02/2019
Helicobacter,45,22/02/2019
S24-7,10,22/02/2019
S24-7,6,22/02/2019
S24-7,19,22/02/2019
Lachnospiraceae,46,22/02/2019
Clostridiales,43,22/02/2019
Clostridiales,108,22/02/2019
Clostridiales,111,22/02/2019
Clostridiales,35,22/02/2019
Ruminococcus,57,22/02/2019
S24-7,83,08/03/2019
S24-7,91,08/03/2019
RF32,88,08/03/2019
Clostridiales,65,08/03/2019
S24-7,47,08/03/2019
Helicobacter,16,08/03/2019
S24-7,12,08/03/2019
S24-7,19,08/03/2019
S24-7,14,08/03/2019
Lachnospiraceae,46,08/03/2019
Clostridiales,7,08/03/2019
Clostridiales,12,08/03/2019
Clostridiales,37,08/03/2019
Clostridiales,143,08/03/2019
Ruminococcus,120,08/03/2019
